Event	ID	Name			Wwise Object Path	Notes
	1602358412	Play_Footstep			\Default Work Unit\Play_Footstep	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	21660013	532057-jacket-leather-foley-movement-006 - Trimmed	C:\Users\mason\Documents\GitHub\3630_Week_20_AnimationDemo\3630_Week_20_AnimationDemo_WwiseProject\.cache\Windows\SFX\532057-jacket-leather-foley-movement-006 - Trimmed_D91A2DB5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Foley\532057-jacket-leather-foley-movement-006 - Trimmed		136376
	113466791	532831-Slipper_Footsteps_Concrete_Walk-05 - Trimmed	C:\Users\mason\Documents\GitHub\3630_Week_20_AnimationDemo\3630_Week_20_AnimationDemo_WwiseProject\.cache\Windows\SFX\532831-Slipper_Footsteps_Concrete_Walk-05 - Trimmed_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep\532831-Slipper_Footsteps_Concrete_Walk-05 - Trimmed		107680
	158865750	532057-jacket-leather-foley-movement-007 - Trimmed	C:\Users\mason\Documents\GitHub\3630_Week_20_AnimationDemo\3630_Week_20_AnimationDemo_WwiseProject\.cache\Windows\SFX\532057-jacket-leather-foley-movement-007 - Trimmed_5C0F601C.wem		\Actor-Mixer Hierarchy\Default Work Unit\Foley\532057-jacket-leather-foley-movement-007 - Trimmed		136596
	213742621	532831-Slipper_Footsteps_Concrete_Walk-06 - Trimmed	C:\Users\mason\Documents\GitHub\3630_Week_20_AnimationDemo\3630_Week_20_AnimationDemo_WwiseProject\.cache\Windows\SFX\532831-Slipper_Footsteps_Concrete_Walk-06 - Trimmed_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep\532831-Slipper_Footsteps_Concrete_Walk-06 - Trimmed		93492
	227102511	532058-jacket-leather-foley-movement-010 - Trimmed	C:\Users\mason\Documents\GitHub\3630_Week_20_AnimationDemo\3630_Week_20_AnimationDemo_WwiseProject\.cache\Windows\SFX\532058-jacket-leather-foley-movement-010 - Trimmed_FA273416.wem		\Actor-Mixer Hierarchy\Default Work Unit\Foley\532058-jacket-leather-foley-movement-010 - Trimmed		77668
	350279199	532058-jacket-leather-foley-movement-009 - Trimmed	C:\Users\mason\Documents\GitHub\3630_Week_20_AnimationDemo\3630_Week_20_AnimationDemo_WwiseProject\.cache\Windows\SFX\532058-jacket-leather-foley-movement-009 - Trimmed_8F9A7B80.wem		\Actor-Mixer Hierarchy\Default Work Unit\Foley\532058-jacket-leather-foley-movement-009 - Trimmed		83140
	589645188	532831-Slipper_Footsteps_Concrete_Walk-02 - Trimmed	C:\Users\mason\Documents\GitHub\3630_Week_20_AnimationDemo\3630_Week_20_AnimationDemo_WwiseProject\.cache\Windows\SFX\532831-Slipper_Footsteps_Concrete_Walk-02 - Trimmed_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep\532831-Slipper_Footsteps_Concrete_Walk-02 - Trimmed		66300
	755599666	532058-jacket-leather-foley-movement-007 - Trimmed	C:\Users\mason\Documents\GitHub\3630_Week_20_AnimationDemo\3630_Week_20_AnimationDemo_WwiseProject\.cache\Windows\SFX\532058-jacket-leather-foley-movement-007 - Trimmed_50537E4E.wem		\Actor-Mixer Hierarchy\Default Work Unit\Foley\532058-jacket-leather-foley-movement-007 - Trimmed		59060
	815054624	532831-Slipper_Footsteps_Concrete_Walk-07 - Trimmed	C:\Users\mason\Documents\GitHub\3630_Week_20_AnimationDemo\3630_Week_20_AnimationDemo_WwiseProject\.cache\Windows\SFX\532831-Slipper_Footsteps_Concrete_Walk-07 - Trimmed_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep\532831-Slipper_Footsteps_Concrete_Walk-07 - Trimmed		89948
	999736331	532058-jacket-leather-foley-movement-008 - Trimmed	C:\Users\mason\Documents\GitHub\3630_Week_20_AnimationDemo\3630_Week_20_AnimationDemo_WwiseProject\.cache\Windows\SFX\532058-jacket-leather-foley-movement-008 - Trimmed_C000B618.wem		\Actor-Mixer Hierarchy\Default Work Unit\Foley\532058-jacket-leather-foley-movement-008 - Trimmed		73572

